Area Name,Total - Persons,Total - Males,Total - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Literate w/o education level - Persons,Literate w/o education level - Males,Literate w/o education level - Females,Bellow primary - Persons,Bellow primary - Males,Bellow primary - Females,Primary - Persons,Primary - Males,Primary - Females,Middle - Persons,Middle - Males,Middle - Females,Matric/Secondary - Persons,Matric/Secondary - Males,Matric/Secondary - Females,Higher second/Interm/Pre-University/Senior second - Persons,Higher second/Interm/Pre-University/Senior second - Males,Higher second/Interm/Pre-University/Senior second - Females,Non-technical diploma - Persons,Non-technical diploma - Males,Non-technical diploma - Females,Technical diploma - Persons,Technical diploma - Males,Technical diploma - Females,Graduate_Persons,Graduate_Males,Graduate_Females,Unclassified_Persons,Unclassified_Males,Unclassified_Females,age_group
Jammu and Kashmir,1485803,765394,720409,1485803,765394,720409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,infancia
Jammu and Kashmir,217317,111487,105830,106713,50665,56048,110604,60822,49782,5330,2881,2449,105261,57938,47323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,10,ninez
Jammu and Kashmir,321662,165379,156283,129296,58503,70793,192366,106876,85490,6701,3647,3054,185649,103221,82428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,8,ninez
Jammu and Kashmir,231584,119404,112180,72575,31514,41061,159009,87890,71119,3992,2122,1870,141667,78575,63092,13340,7188,6152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,ninez
Jammu and Kashmir,368272,190872,177400,115170,48744,66426,253102,142128,110974,6971,3702,3269,181152,102405,78747,64962,36010,28952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,6,ninez
Jammu and Kashmir,178719,93395,85324,40409,16028,24381,138310,77367,60943,2575,1345,1230,52412,29931,22481,83314,46088,37226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,ninez
Jammu and Kashmir,333604,172296,161308,92179,35915,56264,241425,136381,105044,5905,3122,2783,47878,27761,20117,171825,96897,74928,15790,8586,7204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,15,12,ninez
Jammu and Kashmir,210357,106871,103486,49054,17479,31575,161303,89392,71911,3209,1652,1557,15662,8907,6755,114072,63977,50095,28349,14851,13498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,6,ninez
Jammu and Kashmir,269707,139403,130304,67416,24605,42811,202291,114798,87493,4653,2404,2249,11823,6890,4933,87899,50826,37073,97899,54671,43228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,10,ninez
Jammu and Kashmir,265700,136751,128949,77083,28826,48257,188617,107925,80692,5243,2716,2527,8029,4750,3279,49289,28946,20343,103558,59273,44285,22484,12233,10251,0,0,0,0,0,0,0,0,0,0,0,0,14,7,7,adolescencia
