State,Score_mean,Score_std,Rank_mean,TLR_mean,RPC_mean,GO_mean,OI_mean,PERCEPTION_mean,n_institutos
Andhra Pradesh,50.5025,4.467944666785225,60.416666666666664,62.40083333333333,30.123333333333335,78.02583333333332,60.38666666666666,11.012500000000001,12
Assam,54.645625,10.36668315245206,55.5625,62.683125,42.369375,76.82125,57.801875,19.825625,16
Bihar,50.55833333333334,3.7320365307251033,64.0,62.38833333333333,38.15833333333333,65.50833333333334,57.879999999999995,15.056666666666667,6
Chandigarh,53.60666666666666,3.124161754241713,45.5,55.53666666666667,44.821666666666665,72.01666666666667,61.86333333333334,29.16,6
Delhi,62.85444444444444,11.335679561063428,28.77777777777778,66.75527777777778,51.13583333333334,80.80000000000001,68.13555555555556,45.155833333333334,36
Gujarat,51.34400000000001,5.805518830293194,57.4,67.102,30.163,72.626,62.385000000000005,14.0,10
Himachal Pradesh,49.86000000000001,3.5531957446783053,69.5,59.79333333333333,37.403333333333336,64.28,67.00333333333333,11.411666666666667,6
Jammu and Kashmir,49.13444444444444,3.283340947537703,78.55555555555556,68.55000000000001,25.224444444444444,77.51666666666667,51.78222222222222,3.1822222222222223,9
Jharkhand,55.38199999999999,2.1255046459605786,35.2,54.712,55.326,71.446,57.470000000000006,23.404,5
Karnataka,58.06612903225806,12.68120937382534,45.45161290322581,68.20483870967742,42.821290322580644,75.07709677419355,63.78774193548387,33.63580645161291,31
Kerala,51.0355,3.7334074671524204,57.4,66.135,30.2725,76.7415,57.3575,10.3025,20
Madhya Pradesh,53.516,3.955935624686868,47.3,66.003,41.513999999999996,68.582,63.206,12.258,10
Maharashtra,53.61912280701754,9.96925278055012,57.719298245614034,66.48280701754386,37.2240350877193,72.67859649122808,59.619473684210526,20.06842105263158,57
Meghalaya,42.79,,90.0,55.53,16.31,74.61,51.63,11.62,1
Odisha,54.205499999999994,4.8791538038993245,43.9,64.0005,40.1325,71.73949999999999,66.90650000000001,19.27,20
Pondicherry,51.992,5.619049741726797,52.4,66.062,31.112000000000002,70.05199999999999,67.73,20.564,5
Punjab,51.29794117647059,4.1541157243125,57.029411764705884,61.73147058823529,35.31235294117647,68.82529411764706,65.54117647058824,18.671764705882353,34
Rajasthan,51.27315789473685,5.583364231388714,64.52631578947368,61.06421052631579,37.87421052631579,69.83,63.416315789473686,12.823684210526316,19
Tamil Nadu,54.69866666666667,9.868023287138394,51.13333333333333,63.70255555555555,41.64633333333333,71.85611111111112,60.94444444444444,26.293888888888887,90
Telangana,56.11619047619048,6.2738636231515885,39.666666666666664,66.27952380952381,41.1,75.86428571428571,58.817619047619054,28.491904761904763,21
Uttar Pradesh,57.13926829268293,10.257583874929784,44.951219512195124,66.65317073170732,42.14731707317073,77.38609756097561,62.238292682926826,27.990243902439023,41
Uttarakhand,57.216,10.745450731754877,54.266666666666666,67.82066666666667,45.23133333333333,66.7,66.382,33.184666666666665,15
West Bengal,57.43933333333334,9.973846120568613,41.6,63.737,45.544666666666664,78.24,54.525333333333336,35.550666666666665,30
